anio_desde,anio_hasta,seccion,lugar_o_pais,detalle,fuente
1806,1810,1800s,Acción en el Golfo de México,"cañoneras estadounidenses operaron desde Nueva Orleans contra corsarios españoles y franceses frente al delta del Misisipi , principalmente al mando del capitán John Shaw y el comodoro David Porter . [ 13 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1810,1810,1810s,Florida Occidental (territorio español),"El gobernador William C. C. Claiborne de Luisiana , por orden del presidente James Madison , ocupó con tropas el territorio en disputa al este del río Misisipi hasta el río Pearl , más tarde límite oriental de Luisiana. Se le autorizó a apoderarse de zonas tan al este como el río Perdido . [ 15 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1812,1812,1810s,"Isla Amelia y otras partes del este de Florida , entonces bajo España","la posesión temporal fue autorizada por el presidente James Madison y por el Congreso, para evitar la ocupación por cualquier otra potencia; pero el general George Mathews obtuvo la posesión de manera tan irregular que sus medidas fueron rechazadas por el presidente. [ 16 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1812,1815,1810s,Guerra de 1812,"El 18 de junio de 1812, Estados Unidos declaró la guerra al Reino Unido. Entre las cuestiones que condujeron a la guerra se encontraban la requisición británica de marineros estadounidenses a la Royal Navy , la interceptación de barcos neutrales y los bloqueos de los Estados Unidos durante las hostilidades británicas con Francia, y el apoyo a los ataques indios contra los colonos estadounidenses en el Territorio del Noroeste . [ 17 ] ​ La guerra terminó con la Batalla de Nueva Orleans en 1815.",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1813,1813,1810s,Florida Occidental (territorio español),"Con la autoridad otorgada por el Congreso, el general Wilkinson se apoderó de la bahía de Mobile en abril con 600 soldados. Una pequeña guarnición española cedió. Así, las tropas estadounidenses avanzaron hacia el territorio en disputa hasta el río Perdido , como se proyectó en 1810. No hubo combates. [ 18 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1813,1814,1810s,Campaña de Nuku Hiva,"las fuerzas estadounidenses construyeron un fuerte en la isla de Nuku Hiva en las Islas Marquesas (ahora parte de la Polinesia Francesa ) para proteger tres barcos premiados que habían sido capturados a los británicos. Posteriormente, la fuerza estadounidense luchó con y contra las tribus nativas. [ 19 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1814,1814,1810s,Florida española,el general Andrew Jackson tomó Pensacola y expulsó a las fuerzas británicas. [ 20 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1814,1825,1810s,Caribe,"Los enfrentamientos entre piratas y barcos o escuadrones de la Armada de los Estados Unidos se produjeron repetidamente, especialmente en tierra y mar adentro de Cuba , Puerto Rico , Santo Domingo y Yucatán . Se informaron tres mil ataques piratas a barcos mercantes entre 1815 y 1823. En 1822, el comodoro James Biddle empleó un escuadrón de dos fragatas, cuatro balandras de guerra, dos bergantines, cuatro goletas y dos cañoneras en las Indias Occidentales . [ 21 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1815,1815,1810s,Argel,"La Segunda Guerra Berberisca es declarada contra Estados Unidos por el Dey de Argel de los estados de Berbería , acto no correspondido por Estados Unidos. El Congreso autorizó una expedición militar por estatuto. Una gran flota al mando del capitán Stephen Decatur atacó Argel y obtuvo indemnizaciones.",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1815,1815,1810s,Trípoli,"Después de conseguir un acuerdo con Argel, el capitán Stephen Decatur se manifestó con su escuadrón en Túnez y Trípoli, donde consiguió indemnizaciones por delitos cometidos durante la Guerra de 1812. [ 22 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1816,1816,1810s,Florida española,"las fuerzas estadounidenses destruyeron el Fuerte Negro , que albergaba a esclavos fugitivos que realizaban incursiones en territorio estadounidense. [ 23 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1816,1818,1810s,Florida española – Primera guerra seminola,"Los indios Seminola , cuya zona era un refugio para esclavos fugitivos y rufianes fronterizos, fueron atacados por tropas al mando del general Jackson y el general Edmund P. Gaines y perseguidos hasta el norte de Florida. Los puestos españoles fueron atacados y ocupados y los ciudadanos británicos ejecutados. En 1819 las Floridas fueron cedidas a Estados Unidos . [ 24 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1817,1817,1810s,Isla Amelia (territorio español frente a Florida),"bajo órdenes del presidente James Monroe , las fuerzas estadounidenses desembarcaron y expulsaron a un grupo de contrabandistas, aventureros y filibusteros. Este episodio de la historia de Florida se conoció como el Asunto de Amelia Island . [ 25 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1818,1818,1810s,Oregón,"el USS Ontario , enviado desde Washington, desembarcó en la desembocadura del río Columbia para hacer valer los reclamos estadounidenses. Gran Bretaña había cedido soberanía, pero Rusia y España reclamaron la zona. [ 26 ] ​ Posteriormente, los reclamos estadounidenses y británicos sobre el territorio de Oregón se resolvieron con el Tratado de Oregón de 1846. [ 27 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1820,1823,1820s,África,unidades navales atacaron el tráfico de esclavos de conformidad con la ley del Congreso de 1819. [ 28 ] ​ [ 29 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1822,1822,1820s,Cuba española,las fuerzas navales estadounidenses que reprimen la piratería desembarcan en la costa noroeste de Cuba e incendian una estación pirata. [ 30 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1823,1823,1820s,Cuba,El 8 de abril se produjeron breves desembarcos en persecución de piratas cerca de Escondido ; 16 de abril cerca de Cayo Blanco ; 11 de julio en la Bahía de Siquapa ; 21 de julio en Cabo Cruz ; y el 23 de octubre en Camarioca . [ 31 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1823,1823,1820s,,Guerra de Arikara .,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1824,1824,1820s,Cuba,"En octubre, el USS Porpoise desembarcó marineros cerca de Matanzas en busca de piratas. Esto fue durante el crucero autorizado en 1822. [ 32 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1824,1824,1820s,Puerto Rico (territorio español),"el comodoro David Porter con un grupo de desembarco atacó el pueblo de Fajardo que había albergado a piratas e insultado a oficiales navales. Aterrizó con 200 hombres en noviembre y obligó a disculparse. Posteriormente, el comodoro Porter fue sometido a un consejo de guerra por extralimitarse en sus poderes. [ 33 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1825,1825,1820s,Cuba,"En marzo, fuerzas estadounidenses y británicas que cooperaron desembarcaron en Sagua La Grande para capturar piratas. [ 34 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1827,1827,1820s,Grecia,"En octubre y noviembre, grupos de desembarco cazaron piratas en las islas mediterráneas de Argentiere (Kimolos) , Miconos y Andros . [ 35 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1831,1831,1830s,Islas Malvinas,"Ataque del USS Lexington a Puerto Soledad : El capitán Silas Duncan del USS Lexington atacó, saqueó e incendió Puerto Soledad (entonces bajo control de las Provincias Unidas del Río de la Plata ). Esto fue en respuesta a la captura de tres veleros estadounidenses que fueron detenidos después de ignorar las órdenes de detener la depredación de los recursos pesqueros locales sin el permiso del gobierno de las Provincias Unidas. [ 36 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1832,1832,1830s,Primera expedición a Sumatra,"Sumatra , Indonesia . Del 6 al 9 de febrero, las fuerzas estadounidenses al mando del comodoro John Downes a bordo de la fragata USS Potomac desembarcaron y asaltaron un fuerte para castigar a los nativos de la ciudad de Quallah Battoo por saquear el carguero estadounidense Friendship . [ 37 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1833,1833,1830s,Argentina,31 de octubre al 15 de noviembre. Se envió una fuerza a tierra en Buenos Aires para proteger los intereses de Estados Unidos y otros países durante una insurrección. [ 38 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1835,1836,1830s,Perú,"Del 10 de diciembre de 1835 al 24 de enero de 1836 y del 31 de agosto al 7 de diciembre de 1836, los marines protegieron los intereses estadounidenses en el Callao y Lima durante un intento de revolución. [ 39 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1835,1842,1830s,Territorio de Florida,la Marina de los Estados Unidos apoya los esfuerzos del ejército para sofocar levantamientos y ataques a civiles por parte de los indios seminolas . Los esfuerzos del gobierno para reubicar a los seminolas al oeste del Misisipi se ven obstaculizados por siete años de guerra.,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1838,1838,1830s,"El asunto Caroline en Navy Island , Alto Canadá","Después del fracaso de la Rebelión del Alto Canadá de 1837 que favoreció la democracia canadiense y la independencia del Imperio Británico ; William Lyon Mackenzie y sus rebeldes huyeron a Navy Island donde declararon la República de Canadá . Los simpatizantes estadounidenses enviaron suministros al SS Caroline , que fue interceptado por los británicos e incendiado, después de matar a un estadounidense. Se informó falsamente que decenas de estadounidenses murieron al quedar atrapados a bordo, y las fuerzas estadounidenses tomaron represalias quemando un vapor británico mientras se encontraba en aguas estadounidenses.",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1838,1839,1830s,Segunda expedición a Sumatra,"Sumatra, Indonesia. Del 24 de diciembre al 4 de enero, una fuerza naval desembarcó para castigar a los nativos de las ciudades de Quallah Battoo y Muckie (Mukki) por depredaciones a la navegación estadounidense. [ 40 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1840,1840,1840s,Islas Fiji,"En julio, las fuerzas navales desembarcaron para castigar a los nativos por atacar la Expedición Exploradora de Estados Unidos . [ 41 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1841,1841,1840s,"Isla McKean (Isla Drummond/Taputenea), Islas Gilbert (Grupo Kingsmill), Océano Pacífico",Un grupo naval desembarcó para vengar el asesinato de un marinero a manos de los nativos. [ 42 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1841,1841,1840s,Samoa,"El 24 de febrero, un grupo naval desembarcó y quemó ciudades tras el asesinato de un marinero estadounidense en Upolu . [ 43 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1842,1842,1840s,México,"el comodoro Thomas ap Catesby Jones , al mando de un escuadrón que navegaba durante mucho tiempo frente a California, ocupó Monterey, California , el 19 de octubre, creyendo que había llegado la guerra. Descubrió la paz, se retiró y saludó. Un incidente similar ocurrió una semana después en San Diego . [ 44 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1843,1843,1840s,China,Marineros y marines del USS St. Louis desembarcan tras un enfrentamiento entre estadounidenses y chinos en el puesto comercial de Cantón . [ 45 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1843,1843,1840s,África,"del 29 de noviembre al 16 de diciembre, cuatro barcos estadounidenses se manifestaron y desembarcaron varios grupos (uno de 200 infantes de marina y marineros) para desalentar la piratería y la trata de esclavos a lo largo de Costa de Marfil y castigar los ataques de los nativos a los marineros y barcos estadounidenses. [ 46 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1844,1844,1840s,México,"el presidente John Tyler desplegó fuerzas estadounidenses para proteger Texas contra México, pendiente de la aprobación por el Senado de un tratado de anexión (que luego fue rechazado). Defendió su acción contra una resolución de investigación del Senado. [ 47 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1846,1848,1840s,Guerra méxicano-estadounidense,"El 13 de mayo de 1846, Estados Unidos reconoció la existencia de un estado de guerra con México. Después de la anexión de Texas en 1845, Estados Unidos y México no lograron resolver una disputa fronteriza y el presidente Polk dijo que era necesario desplegar fuerzas en México para hacer frente a una amenaza de invasión.",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1849,1849,1840s,"Esmirna (Esmirna, Turquía)","En julio, una fuerza naval logró la liberación de un estadounidense capturado por funcionarios austriacos . [ 50 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1851,1851,1850s,Imperio otomano,"Después de una masacre de extranjeros (incluidos estadounidenses) en Jaffa en enero, se ordenó una manifestación del Escuadrón Mediterráneo a lo largo de la costa turca ( levantina ). [ 51 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1851,1851,1850s,"Isla Johanna (actual Anjouan , al este de África)","en agosto, las fuerzas del balandro de guerra USS Dale exigieron reparación por el encarcelamiento ilegal del capitán de un bergantín ballenero estadounidense. [ 52 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1852,1853,1850s,Argentina,3 al 12 de febrero de 1852; 17 de septiembre de 1852 a abril de 1853: Los marines fueron desembarcados y mantenidos en Buenos Aires para proteger los intereses estadounidenses durante una revolución. [ 53 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1853,1853,1850s,Nicaragua,"Del 11 al 13 de marzo, las fuerzas estadounidenses desembarcaron para proteger las vidas y los intereses estadounidenses durante los disturbios políticos. [ 54 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1853,1854,1850s,Japón,"El comodoro Matthew Perry y su expedición hicieron una demostración de fuerza que condujo a la "" apertura de Japón "". [ 55 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1853,1854,1850s,Islas Ryukyu y Bonin (Japón),"El comodoro Matthew Perry , en tres visitas antes de ir a Japón y mientras esperaba una respuesta de Japón, hizo una demostración naval, desembarcó marines dos veces y obtuvo una concesión de carbón del gobernante de Naha en Okinawa ; También se manifestó en las Islas Bonin con el propósito de asegurar facilidades para el comercio. [ 56 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1854,1854,1850s,China,"Del 4 de abril al 17 de junio, barcos estadounidenses y británicos desembarcaron fuerzas para proteger los intereses estadounidenses en Shanghái y sus alrededores durante el conflicto civil chino. [ 57 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1854,1854,1850s,Costa de los Mosquitos (Nicaragua),"Del 9 al 15 de julio, las fuerzas navales bombardearon y quemaron San Juan del Norte ( Greytown ) para vengar a los heridos durante un motín contra el ministro estadounidense en Nicaragua. [ 58 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1855,1855,1850s,China,"Del 19 al 21 de mayo, las fuerzas estadounidenses protegieron los intereses estadounidenses en Shanghái y, del 3 al 5 de agosto, lucharon contra los piratas cerca de Hong Kong . [ 59 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1855,1855,1850s,Islas Fiji,"del 12 de septiembre al 4 de noviembre, una fuerza naval desembarcó para buscar reparaciones por los ataques a residentes y marineros estadounidenses. [ 60 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1855,1855,1850s,Uruguay,"Del 25 al 29 de noviembre, las fuerzas navales estadounidenses y europeas desembarcaron para proteger los intereses estadounidenses durante un intento de revolución en Montevideo . [ 61 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1856,1856,1850s,"Estado de Panamá , República de Nueva Granada","Del 19 al 22 de septiembre, las fuerzas estadounidenses desembarcaron para proteger los intereses estadounidenses durante una insurrección. [ 62 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1856,1856,1850s,China,"Del 22 de octubre al 6 de diciembre, las fuerzas estadounidenses desembarcaron para proteger los intereses estadounidenses en Cantón durante las hostilidades entre británicos y chinos, y para vengar un asalto a un barco desarmado que enarbolaba la bandera de los Estados Unidos . [ 63 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1857,1858,1850s,Guerra de Utah,"La Guerra de Utah fue una disputa entre los colonos mormones en el territorio de Utah y el gobierno federal de los Estados Unidos. Los mormones y Washington buscaron cada uno el control sobre el gobierno del territorio, resultando victorioso el gobierno nacional. El enfrentamiento entre la milicia mormona y el ejército estadounidense implicó cierta destrucción de propiedades, pero no batallas reales entre las fuerzas militares contendientes.",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1857,1857,1850s,Nicaragua,"Abril a mayo, noviembre a diciembre. En mayo, el comandante Charles Henry Davis de la Armada de Estados Unidos, junto con algunos marines, recibieron la rendición de William Walker , autoproclamado presidente de Nicaragua, quien estaba perdiendo el control del país ante fuerzas financiadas por su ex socio comercial, Cornelius Vanderbilt . y protegió a sus hombres de las represalias de los aliados nativos que habían estado luchando contra Walker. En noviembre y diciembre del mismo año, los buques estadounidenses USS Saratoga , USS Wabash y Fulton se opusieron a otro intento de William Walker en Nicaragua. El acto del comodoro Hiram Paulding de desembarcar marines y obligar a la expulsión de Walker a los Estados Unidos fue tácitamente rechazado por el Secretario de Estado Lewis Cass , y Paulding se vio obligado a retirarse. [ 64 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1858,1858,1850s,Uruguay,"Del 2 al 27 de enero, fuerzas de dos buques de guerra estadounidenses desembarcaron para proteger propiedades estadounidenses durante una revolución en Montevideo . [ 65 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1858,1858,1850s,Islas Fiji,"Del 6 al 16 de octubre, una expedición marina con el USS Vandalia mató a 14 nativos y quemó 115 cabañas en represalia por el asesinato de dos ciudadanos estadounidenses en la isla Waya . [ 66 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1858,1859,1850s,Imperio otomano,"el secretario de Estado Lewis Cass solicitó una exhibición de fuerza naval a lo largo del Levante después de una masacre de estadounidenses en Jaffa y malos tratos en otros lugares ""para recordar a las autoridades (del Imperio Otomano) el poder de los Estados Unidos."" [ 67 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1859,1859,1850s,Paraguay,El Congreso autorizó a una escuadra naval a buscar reparación por un ataque a un buque de guerra en el río Paraná durante 1855. Se presentaron disculpas después de una gran demostración de fuerza. [ 68 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1859,1859,1850s,México,Doscientos soldados estadounidenses cruzan el Río Grande en persecución del nacionalista mexicano Juan Cortina . [ 69 ] ​ [ 70 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1859,1859,1850s,China,"del 31 de julio al 2 de agosto, una fuerza naval desembarca para proteger los intereses estadounidenses en Shanghái . [ 71 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1860,1860,1860s,"Angola , África Occidental Portuguesa","El 1 de marzo, los residentes estadounidenses en Kissembo pidieron a los barcos estadounidenses y británicos que protegieran vidas y propiedades durante los problemas con los nativos. [ 72 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1860,1860,1860s,Colombia ( Bahía de Panamá ),"Del 27 de septiembre al 8 de octubre, fuerzas navales desembarcaron para proteger los intereses estadounidenses durante una revolución. [ 73 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1861,1865,1860s,Guerra civil estadounidense,Una guerra importante entre los Estados Unidos ( la Unión ) y once estados del Sur que declararon que tenían derecho a la secesión y formaron los Estados Confederados de América .,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1863,1863,1860s,Japón,"16 de julio, batalla del estrecho de Shimonoseki : el USS Wyoming tomó represalias contra un disparo contra el buque estadounidense Pembroke en el estrecho de Shimonoseki . [ 74 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1864,1864,1860s,Japón,"Del 14 de julio al 3 de agosto, las fuerzas navales protegieron al ministro de los Estados Unidos en Japón cuando visitó Yedo para negociar algunas reclamaciones estadounidenses contra Japón y facilitar sus negociaciones impresionando a los japoneses con el poder estadounidense. [ 75 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1864,1864,1860s,Japón,"Del 4 al 14 de septiembre, como parte de la campaña de Shimonoseki , las fuerzas navales de los Estados Unidos, Gran Bretaña , Francia y los Países Bajos obligaron a Japón y al Príncipe de Nagato en particular permitir que el estrecho de Shimonoseki sea utilizado por barcos extranjeros de conformidad con los tratados ya firmados. [ 76 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1865,1865,1860s,Panamá,"El 9 y 10 de marzo, las fuerzas estadounidenses protegieron las vidas y propiedades de los residentes estadounidenses durante una revolución. [ 77 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1865,1877,1860s,Sur de Estados Unidos – Reconstrucción después de la guerra civil estadounidense,el Sur se divide en cinco distritos de ocupación de la Unión según la Ley de Reconstrucción .,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1866,1866,1860s,México,"Para proteger a los residentes estadounidenses, el general Sedgwick y 100 hombres obtuvieron en noviembre la rendición de Matamoros , en el estado fronterizo de Tamaulipas . Después de tres días, el gobierno de Estados Unidos le ordenó retirarse. Su acto fue repudiado por el presidente Andrew Johnson . [ 78 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1866,1866,1860s,China,"del 20 de junio al 7 de julio, las fuerzas estadounidenses castigaron un asalto al cónsul estadounidense en Newchwang . [ 79 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1866,1868,1860s,Guerra de Nube Roja,"guerra contra los grupos de nativos americanos Lakota Sioux , Cheyene y Arapajó por el control del territorio del río Powder y la seguridad de Bozeman Trail en Wyoming y Montana . Las tribus indias aliadas lograron una victoria en la Lucha de Fetterman y pudieron negociar términos de paz favorables en el Tratado de Fort Laramie (1868) , que estableció la Gran Reserva Sioux .",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1867,1867,1860s,Nicaragua,Los marines ocupan Managua y León .,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1867,1867,1860s,Formosa (isla de Taiwán),"El 13 de junio, una fuerza naval desembarcó y quemó varias chozas para castigar el asesinato de la tripulación de un barco estadounidense naufragado.",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
