anio_desde,anio_hasta,seccion,place_or_country,details,source
1812,1815,1810s,War of 1812,"On June 18, 1812, the United States declared war against the United Kingdom. Among the issues leading to the war were British impressment of American sailors into the Royal Navy , interception of neutral ships and blockades of the United States during British hostilities with France, and support for Indian attacks on American settlers in the Northwest Territory . [RL30172] The war ended with the Battle of New Orleans in 1815.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1813,1813,1810s,West Florida (Spanish territory),"On authority given by Congress, General Wilkinson seized Mobile Bay in April with 600 soldiers. A small Spanish garrison gave way. Thus U.S. troops advanced into disputed territory to the Perdido River , as projected in 1810. No fighting. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1813,1814,1810s,Nuku Hiva Campaign,U.S. forces built a fort on the island of Nuku Hiva in the Marquesas Islands (now part of French Polynesia ) to protect three prize ships which had been captured from the British. The American force subsequently fought with and against native tribes. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1814,1814,1810s,Spanish Florida,General Andrew Jackson took Pensacola and drove out the British forces. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1814,1825,1810s,Caribbean,"Engagements between pirates and U.S. Navy ships or squadrons took place repeatedly especially ashore and offshore about Cuba , Puerto Rico , Santo Domingo , and Yucatán . Three thousand pirate attacks on merchantmen were reported between 1815 and 1823. In 1822, Commodore James Biddle employed a squadron of two frigates , four sloops of war , two brigs , four schooners , and two gunboats in the West Indies . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1815,1815,1810s,Algiers,"The Second Barbary War was declared against the United States by the Dey of Algiers of the Barbary states , an act not reciprocated by the United States. Congress did authorize a military expedition by statute. A large fleet under Captain Stephen Decatur attacked Algiers and obtained indemnities. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1815,1815,1810s,Tripoli,"After securing an agreement from Algiers, Captain Stephen Decatur demonstrated with his squadron at Tunis and Tripoli, where he secured indemnities for offenses during the War of 1812. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1816,1816,1810s,Spanish Florida,"United States forces destroyed Negro Fort , which harbored fugitive slaves making raids into United States territory. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1816,1818,1810s,Spanish Florida – First Seminole War,"The Seminole Indians , whose area was a haven for escaped slaves and border ruffians, were attacked by troops under General Jackson and General Edmund P. Gaines and pursued into northern Florida. Spanish posts were attacked and occupied, British citizens executed.  In 1819 the Floridas were ceded to the United States . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1817,1817,1810s,Amelia Island (Spanish territory off Florida),"Under orders of President James Monroe , United States forces landed and expelled a group of smugglers, adventurers, and freebooters. This episode in Florida's history became known as the Amelia Island Affair . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1818,1818,1810s,Oregon,"USS Ontario , dispatched from Washington, made a landing at the mouth of the Columbia River to assert U.S. claims. Britain had conceded sovereignty but Russia and Spain asserted claims to the area. [RL30172] Subsequently, American and British claims to the Oregon Country were resolved with the Oregon Treaty of 1846. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1820,1823,1820s,Africa,Naval units raided the slave traffic pursuant to the 1819 act of Congress . [RL30172] [Slave Traffic],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1822,1822,1820s,Spanish Cuba,United States naval forces suppressing piracy landed on the northwest coast of Cuba and burned a pirate station. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1823,1823,1820s,Cuba,Brief landings in pursuit of pirates occurred April 8 near Escondido ; April 16 near Cayo Blanco ; July 11 at Siquapa Bay ; July 21 at Cape Cruz ; and October 23 at Camrioca . [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1823,1823,1820s,,Arikara War .,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1824,1824,1820s,Cuba,In October USS Porpoise landed sailors near Matanzas in pursuit of pirates. This was during the cruise authorized in 1822. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1824,1824,1820s,Puerto Rico (Spanish territory),Commodore David Porter with a landing party attacked the town of Fajardo which had sheltered pirates and insulted naval officers. He landed with 200 men in November and forced an apology. Commodore Porter was later court-martialed for overstepping his powers. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1825,1825,1820s,Cuba,In March cooperating American and British forces landed at Sagua La Grande to capture pirates. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1827,1827,1820s,Greece,"In October and November, landing parties hunted pirates on the Mediterranean islands of Argentiere (Kimolos) , Myconos , and Andros . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1831,1831,1830s,Falkland Islands,"Captain Silas Duncan of USS Lexington attacked, looted and burned Puerto Soledad (then under the control of the United Provinces of the Río de la Plata ). This was in response to the capture of three American sailing vessels which were detained after ignoring orders to stop depredation of local fishing resources without permission from the United Provinces government. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1832,1832,1830s,First Sumatran expedition,"Sumatra , Indonesia – February 6 to 9, U.S. forces under Commodore John Downes aboard the frigate USS Potomac landed and stormed a fort to punish natives of the town of Quallah Battoo for plundering the American cargo ship Friendship . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1833,1833,1830s,Argentina,"October 31 to November 15, A force was sent ashore at Buenos Aires to protect the interests of the United States and other countries during an insurrection. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1835,1836,1830s,Peru,"December 10, 1835, to January 24, 1836, and August 31 to December 7, 1836, Marines protected American interests in Callao and Lima during an attempted revolution. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1835,1842,1830s,Florida Territory,United States Navy supports the Army's efforts at quelling uprisings and attacks on civilians by Seminole Indians. Government's efforts to relocate the Seminoles to west of the Mississippi are hindered by 7 years of war.,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1838,1838,1830s,"The Caroline affair on Navy Island , Upper Canada","After the failure of the Upper Canada Rebellion of 1837 favoring Canadian democracy and independence from the British Empire ; William Lyon Mackenzie and his rebels fled to Navy Island where they declared the Republic of Canada . American sympathizers sent supplies on SS Caroline , which was intercepted by the British and set ablaze, after killing one American. It was falsely reported that dozens of Americans were killed as they were trapped on board, and American forces retaliated by burning a British steamer while it was in U.S. waters.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1838,1839,1830s,Second Sumatran expedition,"Sumatra , Indonesia – December 24 to January 4, a naval force landed to punish natives of the towns of Quallah Battoo and Muckie (Mukki) for depredations on American shipping. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1840,1840,1840s,Fiji Islands,"In July, naval forces landed to punish natives for attacking the U.S. Exploring Expedition . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1841,1841,1840s,"McKean Island (Drummond Island/Taputenea), Gilbert Islands (Kingsmill Group), Pacific Ocean",A naval party landed to avenge the murder of a seaman by the natives. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1841,1841,1840s,Samoa,"On February 24, a naval party landed and burned towns after the murder of an American seaman on Upolu . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1842,1842,1840s,Mexico,"Commodore Thomas ap Catesby Jones , in command of a squadron long cruising off California, occupied Monterey, California , on October 19, believing war had come. He discovered peace, withdrew, and saluted. A similar incident occurred a week later at San Diego . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1843,1843,1840s,China,Sailors and marines from USS St. Louis were landed after a clash between Americans and Chinese at the trading post in Canton . [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1843,1843,1840s,Africa,"From November 29 to December 16, four United States vessels demonstrated and landed various parties (one of 200 marines and sailors) to discourage piracy and the slave trade along the Ivory Coast , and to punish attacks by the natives on American seamen and shipping. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1844,1844,1840s,Mexico,"President John Tyler deployed U.S. forces to protect Texas against Mexico, pending Senate approval of a treaty of annexation (which was later rejected). He defended his action against a Senate resolution of inquiry . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1846,1848,1840s,Mexican–American War,"On May 13, 1846, the United States recognized the existence of a state of war with Mexico. After the annexation of Texas in 1845, the United States and Mexico failed to resolve a boundary dispute and President Polk said that it was necessary to deploy forces in Mexico to meet a threatened invasion.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1849,1849,1840s,"Smyrna (İzmir, Turkey)","In July, a naval force gained release of an American seized by Austrian officials. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1851,1851,1850s,Ottoman Empire,"After a massacre of foreigners (including Americans) at Jaffa in January, a demonstration by the Mediterranean Squadron was ordered along the Turkish (Levantine) coast. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1851,1851,1850s,"Johanna Island (modern Anjouan , east of Africa)","In August, forces from the sloop-of-war USS Dale exacted redress for the unlawful imprisonment of the captain of an American whaling brig . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1852,1853,1850s,Argentina,"February 3 to 12, 1852; September 17, 1852, to April 1853: Marines were landed and maintained in Buenos Aires to protect American interests during a revolution. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1853,1853,1850s,Nicaragua,"March 11 to 13, U.S. forces landed to protect American lives and interests during political disturbances. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1853,1854,1850s,Japan,"Commodore Matthew Perry and his expedition made a display of force leading to the "" opening of Japan "". [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1853,1854,1850s,Ryukyu and Bonin Islands (Japan),"Commodore Matthew Perry on three visits before going to Japan and while waiting for a reply from Japan made a naval demonstration, landing marines twice, and secured a coaling concession from the ruler of Naha on Okinawa ; he also demonstrated in the Bonin Islands with the purpose of securing facilities for commerce. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1854,1854,1850s,China,"April 4 to June 17, American and British ships landed forces to protect American interests in and near Shanghai during Chinese civil strife. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1854,1854,1850s,Mosquito Coast (Nicaragua),"On July 9–15, naval forces bombarded and burned San Juan del Norte ( Greytown ) to avenge an injured during a riot to the American Minister to Nicaragua . [ 4 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1855,1855,1850s,China,"On May 19–21, U.S. forces protected American interests in Shanghai and, from August 3 to 5 fought pirates near Hong Kong. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1855,1855,1850s,Fiji expedition,"From September 12 to November 4, a naval force landed on the Fiji islands to seek reparations for attacks on American residents and seamen. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1855,1855,1850s,Uruguay,"On November 25–29, United States and European naval forces landed to protect American interests during an attempted revolution in Montevideo . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1856,1856,1850s,"Panama State , Republic of New Granada","On September 19–22, U.S. forces landed to protect American interests during an insurrection. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1856,1856,1850s,China,"From October 22 to December 6, U.S. forces landed to protect American interests at Canton during hostilities between the British and the Chinese, and to avenge an assault upon an unarmed boat displaying the United States flag . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1857,1858,1850s,Utah War,"The Utah War was a dispute between Mormon settlers in Utah Territory and the United States federal government. The Mormons and Washington each sought control over the government of the territory, with the national government victorious. The confrontation between the Mormon militia and the U.S. Army involved some destruction of property, but no actual battles between the contending military forces.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1857,1857,1850s,Nicaragua,"April to May, November to December. In May, Commander Charles Henry Davis of the United States Navy, with some marines, received the surrender of William Walker , self-proclaimed president of Nicaragua , who was losing control of the country to forces financed by his former business partner, Cornelius Vanderbilt , and protected his men from the retaliation of native allies who had been fighting Walker. In November and December of the same year United States vessels USS Saratoga , USS Wabash , and Fulton opposed another attempt of William Walker on Nicaragua. Commodore Hiram Paulding 's act of landing marines and compelling the removal of Walker to the United States, was tacitly disavowed by Secretary of State Lewis Cass , and Paulding was forced into retirement. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1858,1858,1850s,Uruguay,"From January 2 to 27, forces from two United States warships landed to protect American property during a revolution in Montevideo . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1858,1858,1850s,Fiji expedition,"From October 6 to 16, a marine expedition with USS Vandalia killed 14 natives of the Fiji islands and burned 115 huts in retaliation for the murder of two American citizens at Waya Island . [RL30172] [Vandalia 1] [Vandalia 2]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1858,1859,1850s,Ottoman Empire,"Secretary of State Lewis Cass requested a display of naval force along the Levant after a massacre of Americans at Jaffa and mistreatment elsewhere ""to remind the authorities (of the Ottoman Empire) of the power of the United States."" [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1859,1859,1850s,Paraguay expedition,Congress authorized a naval squadron to seek redress for an attack on naval vessel USS Water Witch in the Paraná River during 1855. Apologies were made after a large display of force. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1859,1859,1850s,Mexico,Two hundred United States soldiers crossed the Rio Grande in pursuit of the Mexican nationalist Juan Cortina . [RL30172] [1859 Mexico],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1859,1859,1850s,China,"From July 31 to August 2, a naval force landed to protect American interests in Shanghai. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1860,1860,1860s,"Angola , Portuguese West Africa","On March 1, American residents at Kissembo called upon American and British ships to protect lives and property during problems with natives. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1860,1860,1860s,"Colombia, Bay of Panama","From September 27 to October 8, naval forces landed to protect American interests during a revolution. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1861,1865,1860s,American Civil War,A major war between the United States (the Union ) and eleven Southern states which declared that they had a right to secession and formed the Confederate States of America .,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1863,1863,1860s,Japan,"July 16, Battle of Shimonoseki Straits : USS Wyoming retaliated against a firing on the American vessel Pembroke at the Straits of Shimonoseki . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1864,1864,1860s,Japan,"From July 14 to August 3, naval forces protected the United States Minister to Japan when he visited Yedo to negotiate concerning some American claims against Japan, and to make his negotiations easier by impressing the Japanese with American power. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1864,1864,1860s,Japan,"From September 4 to 14, as part of the Shimonoseki campaign , naval forces of the United States, Great Britain, France, and the Netherlands compelled Japan and the Prince of Nagato in particular to permit the Straits of Shimonoseki to be used by foreign shipping in accordance with treaties already signed. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1865,1865,1860s,Panama,"On March 9 and 10, U.S. forces protected the lives and property of American residents during a revolution. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1865,1877,1860s,Southern United States – Reconstruction following the American Civil War,The South is divided into five Union occupation districts under the Reconstruction Act .,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1866,1866,1860s,Mexico,"To protect American residents, General Sedgwick and 100 men in November obtained surrender of Matamoros , on the border state of Tamaulipas . After three days he was ordered by U.S. Government to withdraw. His act was repudiated by President Andrew Johnson . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1866,1866,1860s,China,"From June 20 to July 7, U.S. forces punished an assault on the American consul at Newchwang . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1866,1868,1860s,Red Cloud's War,"war against the Lakota Sioux , Cheyenne , and Arapaho Native American groups over control of the Powder River Country and security of the Bozeman Trail in Wyoming and Montana. The allied Indian tribes achieved a victory at the Fetterman Fight and were able to negotiate favorable peace terms in the Treaty of Fort Laramie (1868) , which established the Great Sioux Reservation .",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1867,1867,1860s,Nicaragua,Marines occupied Managua and Leon .,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1867,1867,1860s,Formosa (island of Taiwan),"On June 13, a naval force landed and burned a number of huts to punish the murder of the crew of a wrecked American vessel.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1868,1868,1860s,"Japan ( Osaka , Hiolo, Nagasaki , Yokohama , and Negata )","February 4 to 8, April 4 to May 12, June 12 and 13. U.S. forces were landed to protect American interests during a civil war ( Boshin War ) in Japan. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1868,1868,1860s,Uruguay,"On February 7–8, and 19–26, U.S. forces protected foreign residents and the customhouse during an insurrection at Montevideo. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1868,1868,1860s,Colombia,"In April, U.S. forces protected passengers and treasure in transit at Aspinwall during the absence of local police or troops on the occasion of the death of President Manuel Murillo Toro . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1870,1870,1870s,Battle of Boca Teacapan,"On June 17 and 18, U.S. forces destroyed the pirate ship Forward , which had been run aground about 40 miles up the Teacapan Estuary in Mexico. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1871,1871,1870s,Korea,"Shinmiyangyo – June 10 to 12, A U.S. naval force attacked and captured five forts to force stalled negotiations on trade agreements and to punish natives for depredations on Americans, particularly for executing the crew of the General Sherman and burning the schooner (which in turn happened because the crew had stolen food and kidnapped a Korean official), and for later firing on other American small boats taking soundings up the Salee River. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1873,1873,1870s,Colombia (Bay of Panama),"May 7 to 22, September 23 to October 9. U.S. forces protected American interests during hostilities between local groups over control of the government of the State of Panama. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1873,1896,1870s,Mexico,United States troops crossed the Mexican border repeatedly in pursuit of cattle thieves and other brigands. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1874,1874,1870s,Honolulu Courthouse riot,"From February 12 to 20, detachments from American vessels were landed to protect the interests of Americans living in the Hawaiian Kingdom during the coronation of King Kalākaua . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1876,1876,1870s,Mexico,"On May 18, an American force was landed to police the town of Matamoros , Mexico, temporarily while it was without other government. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1876,1877,1870s,"Great Sioux War in the Dakota Territory, Wyoming Territory, and Montana Territory","Armed conflict with the Lakota Sioux and Cheyenne peoples over possession of the Black Hills , following the discovery of gold there. Despite Native American victories like the Battle of the Little Bighorn , the U.S. government prevailed, forcing the tribes back onto their reservations.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1878,1878,1870s,"Lincoln County, New Mexico","On July 15–19, during the Battle of Lincoln (part of the Lincoln County War ) 150 cavalry -men arrived from Fort Stanton , under the command of Lieutenant George Smith (later Colonel Nathan Dudley ) to assist the Murphy-Dolan Faction in attacking the Lincoln County Regulators vigilante group. 5 dead, 8–28 wounded. [ citation needed ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1882,1882,1880s,Egyptian Expedition,"July 14 to 18, American forces landed to protect American interests during the Anglo-Egyptian War and looting of the city of Alexandria by Arabs. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1885,1885,1880s,Colombia (Colón),"January 18 and 19, U.S. forces were used to guard the valuables in transit over the Panama Railroad, and the safes and vaults of the company during revolutionary activity. In March, April, and May in the cities of Colón and Panama, the forces helped reestablish freedom of transit during revolutionary activity (see Burning of Colón ). [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1888,1888,1880s,Korea,"June, A naval force was sent ashore to protect American residents in Seoul during unsettled political conditions, when an outbreak of the populace was expected. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1888,1888,1880s,Haiti,"December 20, A display of force persuaded the Haitian Government to give up an American steamer which had been seized on the charge of breach of blockade. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1888,1889,1880s,Samoan crisis ; Samoan Civil War ; Second Samoan Civil War,"November 14, 1888, to March 20, 1889, U.S. forces were landed to protect American citizens and the consulate during a native civil war. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1889,1889,1880s,Kingdom of Hawaii,"July 30 and 31, U.S. forces at Honolulu protected the interests of Americans living in Hawaii during an American led revolution. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1890,1890,1890s,Argentina,A naval party landed to protect U.S. consulate and legation in Buenos Aires. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1890,1890,1890s,"Wounded Knee Massacre ; Pine Ridge Indian Reservation , South Dakota","On December 29, soldiers of the US Army 7th Cavalry killed 178 Lakota Sioux following an incident over a disarmament-inspection at a Lakota Sioux encampment near Wounded Knee Creek . 89 other Amerinds were injured, 150 were reported missing; Army casualties were 25 killed, 39 wounded. [ citation needed ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1891,1891,1890s,Haiti,U.S. forces sought to protect American lives and property on Navassa Island . [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1891,1891,1890s,Bering Sea Anti-Poaching Operations,"July 2 to October 5, naval forces sought to stop seal poaching. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1891,1891,1890s,Itata Incident,U.S. and European naval forces intercepted and detained a shipment of arms sent to the Congressionalist forces in the Chilean Civil War .,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1891,1891,1890s,Chile,"August 28 to 30, U.S. forces protected the American consulate and the women and children who had taken refuge in it during a revolution in Valparaíso . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1892,1892,1890s,Homestead Strike,"On July 6, striking miners attacked Pinkerton National Detective Agency agents attempting to break the strike by bringing non-union workers to the mine. 6,000 Pennsylvania state militiamen were sent to reinstate law and order. 16 dead, 27–47 wounded",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1892,1892,1890s,Wyoming,"Johnson County War April 11 to 13, U.S. Cavalry sent to break up a gun battle at the TA Ranch .",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1893,1893,1890s,Overthrow of the Hawaiian Kingdom,"January 16 to April 1, Marines landed in Hawaii, ostensibly to protect American lives and property, but were actually used as part of a coup to promote a Provisional Government under Sanford B. Dole . This action was disavowed by President Grover Cleveland , and the United States apologized in 1993. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1894,1894,1890s,Nicaragua,"July 6 to August 7, U.S. forces sought to protect American interests at Bluefields following a revolution. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1894,1895,1890s,China,Marines were stationed at Tianjin and penetrated to Beijing for protection purposes during the First Sino-Japanese War . [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1894,1895,1890s,China,A naval vessel was beached and used as a fort at Newchwang for protection of American nationals. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
